scaler, pca_n_components, max_depths, max_features, resampling_method, preprocessing_method, N_HVG, accuracy, fitting_time
False, 30, 5, 0.5, borderline_smote, log, None, 0.8436871626399454, 20.99
False, 30, 5, 0.7, borderline_smote, log, None, 0.8541224925128716, 23.56
False, 30, 5, 1.0, borderline_smote, log, None, 0.8568386155786225, 29.30
False, 30, 6, 0.5, borderline_smote, log, None, 0.8477848829654772, 29.44
False, 30, 6, 0.7, borderline_smote, log, None, 0.8544634556404492, 23.27
False, 30, 6, 1.0, borderline_smote, log, None, 0.8596489027841716, 21.74
False, 30, 7, 0.5, borderline_smote, log, None, 0.8549745141378908, 21.60
False, 30, 7, 0.7, borderline_smote, log, None, 0.8597436345275213, 23.38
False, 30, 7, 1.0, borderline_smote, log, None, 0.8501416352383636, 24.26
False, 40, 5, 0.5, borderline_smote, log, None, 0.8482317014379334, 23.72
False, 40, 5, 0.7, borderline_smote, log, None, 0.8464432285206419, 22.58
False, 40, 5, 1.0, borderline_smote, log, None, 0.849940640306948, 21.46
False, 40, 6, 0.5, borderline_smote, log, None, 0.8523070032240796, 24.66
False, 40, 6, 0.7, borderline_smote, log, None, 0.8455237724208267, 22.09
False, 40, 6, 1.0, borderline_smote, log, None, 0.8450616479733929, 23.54
False, 40, 7, 0.5, borderline_smote, log, None, 0.8419423962919563, 24.61
False, 40, 7, 0.7, borderline_smote, log, None, 0.8425135996006607, 24.45
False, 40, 7, 1.0, borderline_smote, log, None, 0.8466848011200145, 24.62
False, 50, 5, 0.5, borderline_smote, log, None, 0.8360230310967361, 19.87
False, 50, 5, 0.7, borderline_smote, log, None, 0.8383779629792893, 21.54
False, 50, 5, 1.0, borderline_smote, log, None, 0.8424558863953134, 22.31
False, 50, 6, 0.5, borderline_smote, log, None, 0.8391860073058688, 21.19
False, 50, 6, 0.7, borderline_smote, log, None, 0.8395853509460031, 24.34
False, 50, 6, 1.0, borderline_smote, log, None, 0.8464722731922271, 22.81
False, 50, 7, 0.5, borderline_smote, log, None, 0.8351890127779491, 25.58
False, 50, 7, 0.7, borderline_smote, log, None, 0.846025609998019, 24.82
False, 50, 7, 1.0, borderline_smote, log, None, 0.8456527807620182, 22.42
